epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,82.8963,1.13202,3.18039,1.21972,0.54194,0.66667,0.66144,0.3252,1.68035,2.1116,2.02155,0.000848969,0.000848969,0.000848969
43,84.7864,1.45088,2.14557,1.47132,0.4602,0.66667,0.63575,0.33185,1.48742,1.72183,1.9134,0.000834822,0.000834822,0.000834822
44,86.6915,1.3172,2.09095,1.43571,0.53569,0.66667,0.57966,0.29939,1.72111,1.88471,1.98939,0.000820675,0.000820675,0.000820675
45,88.5857,1.31399,2.13107,1.39192,0.55196,0.66667,0.62141,0.37362,1.48629,1.83921,1.86638,0.000806528,0.000806528,0.000806528
46,90.4384,1.2378,1.86216,1.3869,0.59767,0.71299,0.67708,0.43887,1.43537,1.71611,1.83455,0.00079238,0.00079238,0.00079238
47,92.3053,1.23258,1.66936,1.34301,0.86859,0.48889,0.65766,0.44369,1.32965,1.69653,1.56035,0.000778233,0.000778233,0.000778233
48,94.3166,1.28724,1.91339,1.39936,0.60782,0.69426,0.6447,0.45959,1.40964,1.60361,1.52622,0.000764086,0.000764086,0.000764086
49,96.0942,1.19947,1.68473,1.35776,0.77686,0.48889,0.59746,0.43029,1.3491,1.60318,1.50478,0.000749939,0.000749939,0.000749939
50,97.9667,1.17758,1.84303,1.28789,0.68588,0.48889,0.55858,0.35208,1.44233,1.86134,1.60568,0.000735792,0.000735792,0.000735792
51,99.837,1.16794,1.56642,1.29386,0.81123,0.48889,0.60198,0.36354,1.52198,1.64032,1.70362,0.000721645,0.000721645,0.000721645
52,101.703,1.50783,2.10013,1.55215,0.90079,0.48889,0.60331,0.40101,1.46205,1.5687,1.62745,0.000707498,0.000707498,0.000707498
53,103.584,1.34811,2.00611,1.41516,0.76609,0.52712,0.61668,0.37982,1.47686,1.62519,1.69041,0.000693351,0.000693351,0.000693351
54,105.45,1.23988,1.84991,1.4368,0.43317,0.61008,0.51078,0.32537,1.5383,1.72258,1.78147,0.000679204,0.000679204,0.000679204
55,107.29,1.24477,1.56061,1.46533,0.83181,0.39713,0.57997,0.34026,1.57124,1.66293,1.82211,0.000665057,0.000665057,0.000665057
56,109.268,1.17911,1.7259,1.34032,0.74402,0.53806,0.6794,0.42929,1.45219,1.46578,1.69772,0.000650909,0.000650909,0.000650909
57,111.185,1.03152,1.45248,1.29166,0.80416,0.54894,0.59833,0.38587,1.48427,1.58973,1.77644,0.000636762,0.000636762,0.000636762
58,113.145,0.97984,1.37621,1.21023,0.7869,0.48105,0.52219,0.31291,1.46029,1.80658,1.70866,0.000622615,0.000622615,0.000622615
59,114.975,1.02082,1.47299,1.23311,0.75066,0.5812,0.58305,0.32752,1.42752,1.92665,1.72989,0.000608468,0.000608468,0.000608468
60,116.81,1.13772,1.33855,1.26666,0.58021,0.65534,0.56778,0.31987,1.60798,2.08011,1.8284,0.000594321,0.000594321,0.000594321
61,118.611,1.11881,1.46053,1.32579,0.52911,0.54966,0.46958,0.29891,1.53688,2.13696,1.78403,0.000580174,0.000580174,0.000580174
62,120.458,1.16721,1.41608,1.32271,0.77767,0.41095,0.45047,0.28358,1.55727,2.04319,1.75199,0.000566027,0.000566027,0.000566027
63,122.292,1.05148,1.39502,1.23066,0.84415,0.47926,0.60667,0.41165,1.46144,1.76701,1.68406,0.00055188,0.00055188,0.00055188
64,124.144,1.27798,2.13819,1.41054,0.6028,0.70915,0.65671,0.4047,1.46221,1.74854,1.66219,0.000537733,0.000537733,0.000537733
65,125.977,1.12399,1.89131,1.18096,0.90944,0.48889,0.64957,0.4237,1.36626,1.56322,1.55936,0.000523586,0.000523586,0.000523586
66,127.794,1.00957,1.48507,1.23496,0.82148,0.58253,0.66551,0.43919,1.35962,1.56581,1.54877,0.000509438,0.000509438,0.000509438
67,129.607,1.01925,1.36738,1.16018,0.83485,0.48889,0.63468,0.4409,1.39178,1.58185,1.52158,0.000495291,0.000495291,0.000495291
68,131.412,1.21864,1.51591,1.35911,0.77394,0.62222,0.69667,0.45726,1.50062,1.50948,1.6866,0.000481144,0.000481144,0.000481144
69,133.163,1.00823,1.58535,1.25784,0.80009,0.68607,0.7675,0.4663,1.44485,1.59742,1.85315,0.000466997,0.000466997,0.000466997
70,135.02,1.14706,1.89397,1.33808,0.78128,0.61124,0.73909,0.47358,1.49077,1.50022,1.72733,0.00045285,0.00045285,0.00045285
71,136.905,1.09359,1.64719,1.22561,0.85344,0.5552,0.64192,0.42852,1.51787,1.70699,1.72649,0.000438703,0.000438703,0.000438703
72,138.818,1.07788,1.57283,1.33035,0.80051,0.5218,0.56029,0.40396,1.38557,1.68179,1.5504,0.000424556,0.000424556,0.000424556
73,140.726,0.96401,1.44374,1.19203,0.87692,0.48489,0.59681,0.42842,1.41699,1.56249,1.53577,0.000410409,0.000410409,0.000410409
74,142.649,1.06194,1.4691,1.27889,0.87087,0.53694,0.6241,0.39949,1.38378,1.57491,1.56615,0.000396262,0.000396262,0.000396262
75,144.523,0.97843,1.26167,1.25058,0.83825,0.5949,0.69338,0.4417,1.46791,1.69941,1.6305,0.000382115,0.000382115,0.000382115
76,146.354,0.98,1.42926,1.18081,0.84462,0.55556,0.65502,0.43648,1.51158,1.66156,1.77959,0.000367967,0.000367967,0.000367967
77,148.209,1.26214,1.79877,1.27138,0.8484,0.55067,0.63555,0.43752,1.54258,1.77143,1.77313,0.00035382,0.00035382,0.00035382
78,150.045,0.90447,1.22259,1.25273,0.71983,0.55556,0.56808,0.39083,1.54606,1.74332,1.74058,0.000339673,0.000339673,0.000339673
79,151.877,0.902,1.24943,1.11546,0.67214,0.55288,0.56167,0.35797,1.57769,1.72567,1.77119,0.000325526,0.000325526,0.000325526
80,153.754,1.02187,1.44169,1.28672,0.70533,0.48889,0.52494,0.35306,1.45559,1.73158,1.70447,0.000311379,0.000311379,0.000311379
81,155.565,0.89967,1.09847,1.16156,0.54369,0.62222,0.5485,0.35523,1.42165,1.66778,1.65902,0.000297232,0.000297232,0.000297232
82,157.358,0.86404,1.01669,1.15558,0.62602,0.55556,0.5827,0.36766,1.41714,1.62097,1.62888,0.000283085,0.000283085,0.000283085
83,159.199,0.98095,1.14436,1.16145,0.57974,0.62222,0.56554,0.36767,1.43413,1.69151,1.57031,0.000268938,0.000268938,0.000268938
84,160.989,1.01982,1.22101,1.2364,0.60395,0.55556,0.56293,0.37355,1.4991,1.60368,1.64451,0.000254791,0.000254791,0.000254791
85,162.844,0.8486,1.19476,1.07966,0.69382,0.55556,0.59205,0.38329,1.5132,1.65659,1.62798,0.000240644,0.000240644,0.000240644
86,164.7,0.8828,1.1839,1.15419,0.8945,0.47276,0.62022,0.39036,1.51912,1.68459,1.64658,0.000226497,0.000226497,0.000226497
87,166.555,0.88621,1.16154,1.19584,0.8423,0.48554,0.61872,0.38641,1.50932,1.66787,1.64819,0.000212349,0.000212349,0.000212349
88,168.451,0.91073,1.08544,1.19065,0.891,0.46775,0.5996,0.38885,1.57466,1.78978,1.7261,0.000198202,0.000198202,0.000198202
89,170.218,0.99645,1.18884,1.1925,0.8197,0.48889,0.55547,0.36653,1.56148,1.7506,1.72308,0.000184055,0.000184055,0.000184055
